,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
5310,X,5,9,7,7,4,6,8,1,8,10,8,9,3,8,3,6
16604,I,3,9,4,6,3,7,7,0,7,13,6,8,0,8,1,8
16811,V,5,9,7,7,4,7,12,2,3,5,10,9,4,12,2,7
15610,E,4,7,6,5,4,7,7,2,7,11,6,9,3,8,4,9
7282,Y,9,10,9,8,5,3,10,3,6,12,12,7,2,11,2,5
6011,C,2,3,3,1,1,5,9,4,6,12,8,10,1,9,2,7
12751,G,3,5,4,4,2,6,6,6,5,9,7,11,2,9,4,10
5638,Y,7,8,7,6,4,5,8,1,7,8,9,5,2,11,3,4
3370,H,3,3,4,2,2,7,8,6,6,7,6,8,3,8,3,7
3156,I,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8
9583,Z,9,15,9,8,6,8,5,2,9,12,6,10,3,8,6,8
19790,U,8,13,7,7,5,8,6,5,4,5,6,7,5,6,3,5
7201,K,4,7,4,4,2,4,9,8,2,7,4,11,4,8,3,10
1054,Z,3,5,4,7,2,7,7,4,14,10,6,8,0,8,8,8
7017,R,2,1,2,2,2,6,7,4,4,6,5,7,2,7,3,8
14225,M,4,7,7,5,7,9,6,2,2,8,4,7,7,5,2,6
12534,D,5,11,7,8,11,8,8,5,5,7,6,6,7,8,8,6
13139,J,1,6,2,4,0,13,3,7,4,13,3,11,0,7,0,8
15936,O,4,7,6,5,6,8,7,5,2,7,6,8,8,9,4,7
6867,R,6,10,9,9,10,8,8,4,4,7,4,7,7,9,6,4
11473,K,5,7,7,6,6,6,7,3,4,6,4,9,5,5,9,7
8515,P,3,9,5,6,4,6,9,3,6,10,9,4,4,10,4,7
5701,B,2,3,4,2,2,7,7,3,5,10,6,6,2,8,5,8
5194,A,5,11,5,6,4,9,4,5,3,10,6,12,7,4,6,10
99,U,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6
10038,I,4,11,5,8,3,7,7,0,8,14,6,8,0,8,1,8
211,O,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8
9341,E,4,7,6,6,6,6,8,3,3,8,7,8,5,12,9,9
17944,H,3,4,3,5,2,7,9,14,3,7,3,8,3,8,0,8
121,N,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8
12122,F,2,8,3,5,1,1,11,4,6,11,11,9,0,8,2,6
15508,N,4,9,6,7,4,9,7,6,5,6,6,4,5,8,2,5
5888,G,2,3,3,2,1,6,7,5,4,9,7,10,2,9,4,10
11934,W,4,8,6,6,3,8,8,4,1,7,8,8,8,9,0,8
5580,K,4,5,5,8,2,4,8,8,2,7,4,11,4,8,2,11
18896,R,5,5,5,8,3,6,10,10,4,7,5,8,3,8,6,11
12512,Y,5,6,6,4,3,3,10,2,7,11,11,6,1,10,2,4
5426,N,3,7,5,5,3,5,10,6,4,7,7,9,5,9,1,8
13156,X,3,7,4,5,2,8,7,4,4,7,6,8,2,8,4,8
16602,U,4,5,5,3,2,6,8,6,7,7,10,9,3,9,0,8
12627,V,5,6,5,4,2,4,12,5,4,11,11,6,3,10,1,8
6807,I,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8
16871,V,2,3,4,4,1,5,8,4,2,8,13,8,3,10,0,8
15315,G,2,3,3,1,1,7,7,5,5,9,6,9,2,9,4,10
7275,R,4,5,5,4,4,7,8,5,6,7,5,6,6,7,4,8
5069,O,4,6,5,5,4,8,5,4,4,9,4,10,3,7,5,7
14732,B,5,8,7,6,6,7,9,5,6,10,6,5,3,7,7,8
11471,B,5,11,7,9,8,8,7,5,4,7,5,7,4,8,6,8
11828,W,8,12,9,7,5,1,8,2,3,9,11,9,9,9,1,6
6633,L,1,3,2,2,1,7,4,1,7,8,2,10,0,7,2,8
16985,N,6,8,8,7,8,7,8,4,4,7,5,6,7,8,7,2
15524,I,5,10,6,8,4,7,7,0,8,13,6,8,0,8,1,8
6375,Z,9,10,6,14,6,8,4,5,4,12,7,9,3,8,12,7
519,Z,5,10,7,8,5,7,8,2,9,12,7,8,1,9,6,7
1047,J,2,6,2,4,1,15,3,3,5,12,1,8,0,8,0,8
1036,D,4,4,5,6,3,5,6,10,9,5,5,5,3,8,4,8
9516,M,3,6,4,4,2,8,7,11,1,7,9,8,7,5,0,8
12194,G,2,4,3,3,2,6,7,6,6,6,6,11,2,9,4,9
17494,Z,3,3,4,5,2,7,7,4,13,9,6,8,0,8,8,8
18360,R,4,7,6,5,6,8,6,6,3,8,6,8,4,7,7,10
8050,N,3,4,5,3,2,7,9,3,4,10,6,6,5,9,0,7
1976,X,3,9,5,7,4,8,7,3,8,5,6,8,3,8,6,8
2510,B,3,6,4,4,3,6,6,8,6,6,6,7,2,8,9,10
17221,H,8,13,8,7,6,9,6,4,5,11,3,7,7,8,5,8
8537,Q,3,5,4,6,4,9,10,6,2,4,8,11,3,10,5,10
13014,C,7,10,8,8,4,6,8,7,8,13,8,9,2,11,3,7
15600,W,4,3,6,4,2,4,8,5,1,7,9,8,8,10,0,8
3185,K,1,0,2,1,0,5,8,8,1,7,6,11,3,8,2,11
524,W,5,9,7,7,7,7,5,6,2,7,7,8,7,7,6,12
11030,O,2,7,3,5,3,7,7,7,4,7,5,8,3,8,2,8
7739,T,3,10,4,8,3,9,13,0,5,6,10,8,0,8,0,8
19879,X,4,10,6,8,4,7,7,4,9,6,6,8,3,8,7,7
8085,W,10,10,9,5,4,5,9,3,2,7,10,8,10,11,1,6
7241,U,4,5,5,4,2,5,8,5,8,9,7,8,3,9,3,5
1056,K,11,15,10,8,4,7,8,3,8,9,7,8,6,8,4,7
15985,J,2,4,3,3,1,9,5,4,6,14,6,12,0,7,0,8
15312,T,3,4,4,3,2,5,11,2,7,11,9,5,1,11,2,5
8306,Z,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7
14787,V,4,5,5,4,2,4,13,4,4,10,11,7,3,10,1,8
16152,I,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8
18037,R,4,9,4,7,5,6,9,8,3,7,4,8,2,7,5,11
12810,U,7,11,6,6,3,7,6,4,6,4,8,6,6,7,3,6
12489,W,7,10,7,7,6,4,10,2,3,9,9,8,7,11,2,6
19664,J,4,11,6,8,4,9,6,3,6,14,4,9,0,6,1,7
18435,L,3,7,4,5,2,3,4,3,8,2,1,7,0,7,1,5
11196,G,4,6,4,4,3,6,7,5,5,9,8,11,2,8,4,10
2085,G,4,6,6,6,6,7,7,5,4,7,7,8,7,10,6,8
6710,F,3,4,3,6,1,1,12,5,5,12,11,8,0,8,2,6
130,A,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
324,N,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7
18769,L,4,10,6,8,3,5,4,1,9,7,2,11,0,7,3,7
6439,D,4,6,5,4,4,10,5,3,6,10,3,7,3,7,3,8
13268,U,2,0,2,1,0,8,5,11,4,6,13,8,3,10,0,8
973,Q,3,7,5,5,4,8,4,7,4,6,5,7,3,8,3,9
6053,C,6,6,7,8,3,5,6,7,11,7,5,14,1,9,4,8
19649,H,9,12,9,6,4,7,8,5,4,9,10,9,7,10,5,9
8628,A,3,8,5,6,5,8,8,6,4,6,6,8,5,7,6,4
8160,C,5,7,5,5,2,5,9,6,8,12,9,10,2,10,3,7
1257,L,3,7,4,5,2,6,4,2,8,7,2,10,0,7,2,8
5623,B,8,14,7,8,6,10,7,3,6,10,4,7,6,6,7,9
14515,W,4,2,6,3,3,7,11,3,2,7,9,8,8,10,1,8
3851,N,5,9,7,7,4,8,7,3,5,10,5,6,6,8,1,7
11522,J,0,0,1,0,0,12,4,4,3,11,4,11,0,7,0,8
10237,V,4,10,6,7,3,5,9,5,2,8,13,8,3,10,0,8
6813,L,3,10,4,7,1,0,1,5,6,0,0,7,0,8,0,8
4872,K,4,6,6,4,4,3,8,2,6,10,10,11,3,8,3,6
194,M,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8
9981,P,8,11,7,6,4,6,11,4,5,13,6,3,4,9,6,5
716,Q,1,2,2,3,2,7,7,5,2,8,8,9,2,9,4,9
3480,C,4,6,5,5,5,5,6,3,5,7,6,11,4,10,6,10
17148,G,5,11,4,6,3,8,7,5,3,9,6,7,3,9,8,8
16225,N,6,9,8,7,7,6,7,8,6,7,5,6,3,8,3,8
1421,J,1,6,2,4,1,14,2,6,5,13,1,9,0,7,0,8
16391,M,4,1,5,3,3,9,6,6,4,6,7,5,8,6,2,6
9158,V,2,8,4,6,1,8,8,4,2,7,13,8,3,9,0,8
16494,Y,9,10,7,14,6,6,6,6,4,6,12,6,5,10,6,5
19298,F,5,5,5,8,2,1,14,5,3,12,10,5,0,8,2,5
878,J,0,0,1,1,0,12,4,5,3,12,4,11,0,7,0,8
6488,C,6,12,4,6,2,7,8,7,6,11,7,7,2,9,5,8
12671,J,4,9,6,7,4,8,6,6,6,8,6,8,3,7,4,6
5759,N,5,8,7,7,7,8,8,5,5,8,5,6,6,10,7,2
6096,T,2,7,3,5,1,6,14,0,6,8,11,8,0,8,0,8
16664,H,3,7,4,5,5,7,8,6,6,7,5,8,3,8,3,7
8674,P,3,9,4,6,2,4,12,9,2,10,6,4,1,10,4,8
5270,Z,4,10,5,7,4,6,8,6,10,7,7,10,1,9,8,8
4217,K,8,13,8,7,4,9,7,3,7,9,3,6,5,8,4,8
11494,J,3,7,4,5,2,8,7,1,6,14,4,7,0,7,0,7
10724,B,2,4,3,3,2,8,7,3,5,9,6,6,3,8,5,9
19651,Z,4,8,5,6,2,7,7,4,15,9,6,8,0,8,8,8
17765,S,5,8,6,6,4,8,8,4,7,10,3,7,2,6,5,9
5418,I,2,9,3,6,2,6,8,0,7,14,7,8,0,8,1,7
3574,F,2,1,3,3,2,5,11,4,5,11,9,5,1,10,3,6
16037,M,5,5,6,4,4,8,6,6,5,6,7,8,10,6,4,6
6181,V,8,10,8,8,4,3,12,3,4,11,12,8,3,9,1,7
17767,O,6,9,6,7,5,7,7,7,5,10,6,10,5,8,4,6
7996,Z,2,7,3,5,1,7,7,3,13,9,6,8,0,8,8,8
14955,Z,8,12,8,6,5,10,3,4,7,12,3,11,3,6,7,11
19228,O,3,6,5,4,5,8,6,5,2,7,6,8,7,9,3,9
3895,F,3,8,3,5,1,1,13,4,4,12,11,6,0,8,2,6
19949,M,5,8,7,6,7,8,6,6,5,7,7,10,11,6,2,9
3498,Q,1,2,2,2,1,8,7,6,2,6,6,9,2,9,3,10
19681,P,4,7,6,5,3,7,10,3,6,14,5,2,0,10,3,9
1864,B,2,3,4,2,2,8,7,3,5,10,5,6,2,8,4,9
7556,H,4,5,6,4,4,7,8,3,6,10,7,7,5,9,4,8
6560,T,4,5,4,3,2,5,11,2,8,11,9,4,1,11,2,4
18478,E,3,10,5,8,5,7,7,5,8,7,7,10,3,8,6,9
11542,D,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7
5393,H,7,11,10,8,8,9,7,3,6,10,4,7,6,8,5,8
3505,H,1,0,2,0,0,7,8,11,1,7,5,8,3,8,0,8
14697,X,4,6,7,4,3,9,7,1,8,10,4,7,3,8,3,8
19261,M,4,6,5,4,4,7,5,11,0,7,9,8,8,6,1,8
8064,G,3,9,4,7,2,7,6,8,8,6,5,10,2,8,6,11
16734,O,4,4,5,6,2,8,8,9,8,5,8,10,3,8,4,8
7479,P,7,10,6,5,4,7,10,4,4,12,5,3,4,10,5,6
9510,Y,4,6,7,8,1,6,10,3,2,8,13,8,1,11,0,8
7711,Q,5,8,5,9,6,7,10,4,3,6,9,11,3,9,6,8
1128,V,3,2,6,4,2,7,12,2,3,6,11,9,4,12,2,7
9354,X,3,5,5,4,4,9,8,2,6,8,5,6,2,6,7,7
12959,C,5,9,5,7,3,4,10,7,8,13,10,8,2,10,2,6
2582,U,4,6,5,4,3,6,7,5,6,8,6,8,3,9,3,6
12792,M,2,3,4,2,3,7,6,3,4,9,7,8,6,5,1,8
5795,E,4,7,6,5,4,10,6,2,8,11,3,9,2,8,5,12
11054,W,6,11,9,9,4,9,7,5,2,7,8,8,9,9,0,8
9247,V,5,9,4,4,2,7,10,4,4,8,9,6,3,10,2,7
13169,G,4,6,4,4,2,6,7,6,7,10,7,10,2,10,4,9
5384,X,7,11,10,8,5,10,7,2,9,11,1,6,4,9,4,10
3444,L,3,3,3,4,1,1,0,6,6,0,1,5,0,8,0,8
8790,C,3,10,4,8,3,5,7,6,7,7,6,13,1,8,4,10
12352,H,3,3,4,4,2,7,8,14,1,7,5,8,3,8,0,8
16290,Q,2,1,3,2,1,8,7,7,5,6,6,8,3,8,4,8
5263,E,4,6,4,8,3,3,7,6,11,7,6,15,0,8,7,7
7984,P,2,4,4,3,2,8,8,2,5,13,4,4,1,10,2,9
8194,M,4,5,5,8,4,8,7,12,2,6,9,8,8,6,0,8
2164,E,4,9,4,6,4,3,6,5,9,6,7,13,0,8,7,9
13331,I,4,11,5,8,3,7,7,0,8,14,6,8,0,8,1,8
16473,A,3,7,5,5,3,12,2,2,2,10,2,9,2,6,3,8
8538,P,6,11,9,8,5,6,12,5,4,12,5,2,1,10,3,9
16721,C,5,9,5,7,3,4,8,6,8,12,10,12,1,9,3,7
8412,L,3,7,4,5,1,0,0,6,6,0,1,5,0,8,0,8
824,Y,7,9,7,7,4,3,10,2,7,11,11,7,1,11,2,5
12421,I,1,5,0,6,0,7,7,4,4,7,6,8,0,8,0,8
8632,W,4,9,6,7,5,10,10,3,3,5,9,7,7,11,1,8
21,H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
6793,J,2,4,3,3,1,8,6,3,6,14,5,9,0,7,0,8
5555,W,5,9,7,7,8,8,8,6,3,6,8,8,6,7,4,7
2968,O,6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9
14892,D,4,8,5,6,4,8,7,6,7,10,4,5,3,8,3,8
13313,M,3,6,6,4,7,6,5,3,1,6,5,8,7,7,2,8
2943,O,5,8,5,6,4,7,7,8,5,10,7,8,3,8,4,8
16122,Q,6,9,7,11,7,9,5,7,4,9,5,11,4,8,6,6
9429,C,2,4,3,3,1,6,8,7,7,9,7,12,1,10,4,10
13994,R,4,7,6,5,5,8,7,7,6,8,6,8,3,8,6,11
8980,U,4,8,6,6,5,8,8,8,5,6,7,9,3,8,4,6
17721,D,3,7,4,5,4,10,6,3,6,10,4,7,3,8,3,9
13236,T,4,5,5,3,2,7,12,3,7,7,11,8,2,11,1,8
13302,W,2,1,3,2,2,10,11,3,2,5,9,7,5,11,0,8
5631,T,6,11,8,8,7,7,7,7,7,5,9,10,6,7,9,4
10785,O,4,7,5,5,3,8,8,8,5,7,7,6,3,8,4,8
16294,G,4,6,5,4,5,9,9,5,2,6,7,8,6,9,4,9
729,P,6,9,5,4,2,5,11,5,3,13,5,4,4,9,3,8
3143,A,6,11,6,6,4,10,2,4,2,11,5,12,5,4,6,10
3607,M,5,8,7,6,6,4,7,3,4,10,10,10,5,6,2,6
18262,I,2,8,3,6,2,7,7,0,7,13,6,8,0,8,1,8
9198,A,3,6,5,4,2,8,2,2,2,7,1,8,2,6,3,7
14696,X,6,9,9,7,5,7,7,0,8,10,6,8,3,8,3,7
9123,Z,2,4,2,3,2,8,7,5,9,6,6,7,1,8,7,8
4954,E,3,5,5,4,3,8,7,2,7,11,5,8,2,9,5,10
18300,X,6,10,9,8,5,3,9,2,8,11,12,10,3,9,3,5
16284,Q,2,2,3,3,2,8,7,6,2,6,6,9,2,9,3,10
2677,D,3,7,4,5,3,10,6,3,7,11,3,6,3,8,3,9
14251,L,5,4,5,7,1,0,0,6,6,0,1,5,0,8,0,8
16010,N,5,4,5,6,2,7,7,15,2,4,6,8,6,8,0,8
14053,E,3,7,4,5,4,8,7,4,8,7,7,8,2,8,6,10
12027,W,4,6,6,4,8,9,7,5,2,7,6,8,9,11,2,7
19622,E,5,11,7,8,5,7,7,1,9,10,6,9,2,8,5,8
14015,A,4,11,6,8,3,7,4,3,2,6,1,8,3,6,3,8
16950,X,3,8,4,6,1,7,7,4,4,7,6,8,3,8,4,8
6534,V,3,6,5,4,1,7,8,4,2,7,13,8,3,9,0,8
2626,I,2,2,1,4,1,7,7,1,8,7,6,8,0,8,3,8
19301,C,2,3,3,2,1,5,9,5,7,12,9,10,1,10,2,7
7466,I,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8
7926,K,4,6,4,4,1,4,7,9,1,7,6,11,3,8,2,11
3996,R,4,5,5,7,3,5,10,9,4,7,4,8,3,7,6,11
11663,H,3,5,5,7,4,11,6,3,1,8,6,9,3,8,8,12
6202,O,2,4,3,3,2,7,7,7,4,9,6,8,2,8,3,8
1147,V,3,5,6,4,2,6,13,3,3,8,11,8,3,10,1,8
6123,B,5,11,7,8,11,8,9,5,3,6,7,7,7,11,12,9
16662,U,2,4,3,3,1,7,8,7,7,8,10,7,3,9,1,8
17576,I,1,4,2,3,1,7,8,0,7,13,6,8,0,8,1,7
15223,R,2,0,2,1,1,6,10,7,2,7,5,8,2,7,4,10
11892,I,1,11,0,8,0,7,7,4,4,7,6,8,0,8,0,8
9908,B,3,7,5,5,4,8,8,6,6,7,6,5,2,8,7,10
18474,K,4,8,6,6,6,7,7,4,4,7,5,7,4,6,9,10
13412,N,3,6,3,4,3,8,8,12,1,6,6,8,5,8,0,8
8484,N,2,4,2,2,2,7,8,5,4,7,6,7,4,8,1,6
6623,M,4,7,5,5,3,8,7,12,1,6,9,8,8,6,0,8
10633,E,5,9,4,4,2,8,7,5,4,10,5,10,3,8,7,10
19825,U,2,2,3,3,1,7,8,7,7,8,10,7,3,9,1,8
19185,K,6,11,8,8,10,7,7,4,5,6,6,9,8,9,8,7
16385,Z,4,8,4,6,4,9,7,5,9,7,5,6,1,7,7,8
9089,G,5,5,6,7,3,7,4,7,9,5,5,9,1,9,7,11
6582,S,2,1,2,1,1,8,7,4,7,5,6,7,0,8,8,8
94,N,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8
4531,H,6,9,8,7,7,6,7,5,5,7,6,8,6,7,7,11
13617,M,4,7,5,5,3,8,7,12,1,6,9,8,8,6,0,8
1570,I,1,1,1,1,0,7,7,2,8,7,6,8,0,8,3,8
14045,M,5,9,5,6,3,7,7,12,2,8,9,8,8,6,0,8
4650,L,3,7,4,5,2,6,4,1,9,8,2,11,0,7,2,8
2485,L,3,5,4,4,2,4,4,4,8,2,1,6,0,7,1,6
1618,C,3,7,4,5,2,3,9,6,7,11,11,11,1,8,2,6
3251,D,3,6,4,4,3,8,7,4,5,10,5,5,3,8,3,8
18462,J,2,7,3,5,1,12,2,9,4,14,5,13,1,6,0,8
7225,U,4,8,6,7,5,8,8,5,4,5,7,8,7,8,2,7
7358,J,2,8,3,6,2,9,6,3,6,12,4,9,1,6,2,6
15912,Y,2,6,4,4,1,9,11,1,7,4,11,8,1,10,1,8
2412,E,4,7,6,6,5,5,9,3,5,8,7,9,4,10,7,7
4499,K,3,4,6,3,3,7,7,1,6,10,5,9,4,7,4,8
13425,P,7,11,10,8,7,7,11,5,4,12,5,2,1,10,3,8
7892,U,5,11,5,6,3,6,5,5,4,7,9,10,5,6,2,9
19410,X,2,3,3,2,1,5,8,2,7,10,10,9,2,9,2,6
9358,D,5,11,7,8,7,9,7,4,5,9,4,6,3,8,3,8
4067,A,8,12,8,6,4,11,0,4,3,12,6,14,4,5,5,11
10663,D,4,8,6,6,5,10,6,4,6,9,3,6,3,9,3,8
13203,K,5,10,7,8,8,6,8,5,3,7,5,8,4,7,7,11
1381,H,5,10,7,8,8,7,7,6,7,7,6,9,3,8,4,8
5750,E,5,11,6,8,7,7,7,6,3,7,6,9,4,8,8,8
3780,G,5,10,6,7,3,7,5,8,9,6,5,10,1,8,6,11
3850,J,6,10,9,8,6,9,5,6,5,8,6,7,3,7,4,6
9838,Q,7,13,6,7,5,11,4,4,6,11,4,8,4,8,8,11
1452,K,4,5,7,4,4,6,7,2,7,10,7,10,3,8,3,8
15598,L,3,10,3,8,2,0,2,3,6,1,0,8,0,8,0,8
17279,L,2,4,4,3,2,7,3,2,7,8,2,10,0,7,2,8
7078,I,1,8,1,6,1,7,7,0,8,7,6,8,0,8,3,8
18632,I,1,3,1,1,0,8,7,1,7,13,6,8,0,8,0,8
15700,R,2,2,3,3,2,6,7,4,5,7,6,7,5,7,3,8
8039,B,3,6,4,4,4,8,7,3,4,7,6,7,3,8,5,8
916,E,1,3,3,2,2,6,8,2,7,11,7,9,2,8,4,9
5968,E,2,4,2,2,2,7,7,5,7,7,5,9,2,8,5,10
1835,E,5,8,7,6,6,6,8,3,7,11,9,9,3,8,5,6
8133,N,4,6,6,4,4,8,8,6,6,6,5,4,6,10,3,5
18142,U,9,11,10,8,4,3,9,6,9,12,12,9,3,9,2,7
8678,P,2,6,3,4,1,4,13,8,2,11,6,3,1,10,3,8
951,G,5,8,6,6,4,6,7,5,4,9,8,9,2,7,5,9
2062,V,5,11,7,8,8,8,5,5,3,8,7,9,9,9,6,11
10100,M,4,8,4,6,3,8,7,12,1,6,9,8,8,6,0,8
12189,F,3,8,3,5,1,1,11,5,6,11,10,9,0,8,3,6
2006,N,3,5,4,3,3,7,9,5,5,7,6,6,5,9,2,6
2348,I,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8
17295,U,6,10,9,8,12,8,8,4,4,6,7,8,10,5,9,8
3375,Z,5,9,7,7,5,6,9,3,9,12,8,6,3,10,8,6
3601,C,5,6,5,4,2,5,9,6,8,12,9,10,2,9,3,7
762,R,2,3,3,2,2,6,7,5,5,7,6,7,2,7,4,9
3237,F,2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,7
18445,W,2,3,3,1,2,5,10,4,2,9,8,7,5,11,1,6
18584,R,3,8,5,6,4,8,7,5,7,7,6,6,3,8,5,8
4132,I,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8
15003,D,5,8,6,6,5,7,8,4,7,7,6,8,7,8,3,7
10463,K,5,11,7,8,7,5,6,3,7,6,6,9,4,8,6,9
1462,D,1,0,1,0,0,6,7,7,5,7,6,6,2,8,3,8
18398,L,4,8,6,6,4,8,4,1,6,9,2,9,1,6,3,9
3248,U,2,0,2,1,0,8,5,11,4,7,13,8,3,10,0,8
9447,I,0,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8
11862,I,4,5,5,6,4,8,9,5,5,7,6,8,3,8,9,8
14667,U,5,7,6,5,3,4,8,5,7,9,8,9,3,9,2,5
19552,C,6,9,7,7,7,8,5,6,3,7,8,11,8,9,5,4
10042,N,6,11,9,9,5,12,7,4,5,10,0,4,6,8,2,8
512,H,6,11,8,8,6,9,7,6,7,7,6,8,6,8,4,7
11003,M,1,0,2,0,1,7,6,9,0,7,8,8,6,6,0,8
304,A,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8
6740,X,3,5,5,4,3,7,7,3,10,6,6,8,3,8,6,8
13182,G,4,2,5,4,3,6,6,6,6,6,6,10,2,9,4,8
19351,T,4,5,5,4,3,6,11,2,8,11,9,5,3,10,4,4
5695,K,3,6,5,4,4,6,6,3,8,6,6,9,3,8,5,9
6695,M,5,5,6,4,4,7,6,6,5,6,7,9,9,6,2,8
17858,O,7,11,9,8,6,7,7,9,5,6,7,11,5,8,5,7
17793,Q,2,3,3,4,2,8,9,6,1,5,7,10,2,10,5,10
3029,R,3,7,5,5,4,7,8,5,6,8,5,9,3,6,5,11
15376,W,4,7,6,5,3,6,8,4,1,7,8,8,8,10,0,8
7204,C,4,9,5,7,3,4,8,6,8,12,10,12,1,9,3,7
11111,H,3,5,5,3,3,8,6,2,6,10,5,8,3,7,3,8
8855,F,3,7,5,5,3,6,10,5,6,10,10,5,2,9,3,5
18880,B,1,3,3,2,2,9,6,3,5,10,5,7,2,8,4,9
19735,L,3,2,4,4,2,4,4,4,8,2,1,7,0,7,1,6
2139,J,3,9,4,7,1,12,2,10,4,14,5,13,1,6,0,8
17138,R,3,6,5,4,4,8,9,4,5,8,4,8,3,5,4,11
6709,W,6,11,8,8,9,8,6,6,3,6,7,8,8,8,5,5
14357,Y,7,8,7,6,4,3,11,2,7,12,11,6,0,10,2,5
327,A,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8
9456,W,6,8,8,7,9,8,8,5,6,7,6,8,9,8,8,7
1339,R,4,5,7,4,6,7,7,3,4,7,5,8,6,9,5,7
15891,C,3,4,4,3,2,4,8,4,7,10,10,13,1,9,2,7
16157,I,4,9,6,6,3,9,8,2,8,7,6,6,0,8,4,7
16852,S,4,9,4,7,2,8,7,6,9,4,6,8,0,8,9,7
15370,S,7,11,9,8,11,8,8,5,3,8,5,8,6,8,13,8
2405,M,11,15,11,8,6,9,11,6,4,4,6,9,10,12,2,7
14905,D,4,2,5,4,4,7,7,7,7,6,6,5,2,8,3,7
2082,E,4,9,6,7,5,5,9,3,7,11,9,9,3,9,4,6
13132,Y,3,4,5,5,1,6,10,3,2,9,13,8,1,11,0,8
4631,D,6,10,6,5,4,9,6,3,7,10,4,7,5,7,8,7
10614,L,3,7,4,5,2,6,3,1,8,8,2,11,0,7,2,8
17639,J,3,5,4,8,2,11,3,11,3,12,8,13,1,6,0,8
18618,U,3,3,3,5,1,8,5,13,5,6,13,8,3,9,0,8
6861,C,3,9,4,7,2,5,8,7,9,6,7,13,1,8,4,9
18603,K,2,4,4,3,2,6,7,2,6,10,7,10,3,8,2,8
3811,A,3,2,5,4,2,10,2,2,2,9,1,8,2,6,3,8
14728,X,2,1,2,1,0,8,7,4,4,7,6,8,3,8,4,8
18348,R,4,9,5,6,7,7,8,3,4,7,6,8,6,9,7,5
2841,V,5,5,6,4,2,4,12,3,3,10,11,7,2,10,1,8
19232,T,2,7,4,5,2,6,11,2,8,8,11,8,1,10,1,7
7971,R,4,5,7,4,6,5,9,4,3,6,4,9,8,5,7,9
13507,Z,1,3,2,2,1,7,7,4,7,6,6,8,1,8,6,8
15966,D,7,10,9,8,8,7,8,6,6,8,7,6,7,8,3,7
11949,U,7,9,7,6,4,5,7,7,9,8,7,9,5,11,5,2
1900,K,5,9,8,7,4,4,9,2,7,10,10,11,3,8,3,6
17412,Z,4,10,5,8,2,7,7,4,14,10,6,8,0,8,8,8
15605,E,4,10,3,5,2,9,6,5,4,11,4,10,3,8,8,13
3698,Q,4,6,5,8,3,8,7,8,6,6,8,8,3,7,6,10
12833,C,2,7,3,5,1,6,8,7,8,5,6,13,1,7,4,9
902,S,1,0,1,0,0,8,7,3,5,5,6,7,0,8,6,8
18047,C,5,9,7,7,8,7,5,4,3,7,7,11,8,9,4,7
85,W,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8
16023,W,4,5,6,4,3,7,11,2,3,7,9,8,7,11,1,8
5067,L,1,3,2,1,0,6,4,1,7,8,2,10,0,7,2,9
15144,V,6,9,6,7,3,4,11,3,4,9,11,7,2,10,1,8
17468,Z,3,2,4,4,2,7,7,5,10,6,6,8,1,8,7,8
2469,A,3,7,5,5,3,8,2,2,2,7,1,8,2,7,3,7
15325,T,5,10,5,7,4,5,11,2,8,11,10,5,1,11,3,4
16056,B,6,9,6,4,5,8,8,4,4,9,6,7,6,7,8,6
12620,J,7,13,6,10,4,8,9,2,3,12,5,5,2,9,8,9
3920,V,4,5,7,8,2,7,8,4,3,7,14,8,3,9,0,8
5121,G,4,7,5,5,3,5,8,5,5,9,9,8,2,8,4,9
11907,K,2,1,3,2,2,5,7,4,7,7,6,11,3,8,4,10
19421,X,6,9,9,7,4,10,5,2,8,11,1,7,3,8,4,9
17399,K,6,11,8,8,6,4,7,2,7,10,10,12,3,8,4,7
17495,X,4,5,6,4,3,7,7,1,9,10,6,8,2,8,3,7
16321,V,4,11,6,8,3,7,9,4,2,7,13,8,2,10,0,8
